tweet,label
march is going to be so lit for me both my babies would be home down side na say i go dey cook like say i dey run restaurant but i loooooveeee that kendra and her father will be home same time,0
baba cto dey the mail omo na grand entrance i wan use enter the presentation,0
see dem this nma them de talk how de wan add ugba for the menu hmm them wan get me for double sha,1
abeg make we no dey do like this i still dey young,2
if i were earning weekly what hes earning fam id celebrate even in defeat football from a fans perspective is not a job its entertainment if we no get entertainment wetin we gain,0
fear men wey dey always drop inspirational quote e get why,2
where una dey see all this letters,0
na wah oh gbenga,2
the only bone straight i can afford now wahala for who no fit buy bone straight this december oo,2
you remember stella stella wey get big nyash she dey on top my bed laidis she don see money she no wan go house again,2
aaaaaaahthis entrepreneurshipi no dey do again ooooooi went to the market i dey cry please who has a rich igbo husband or a rich yoruba husband for mebecause i need to be spoiled and pampered independence is not easye be like say i no wan do again,2
e be like the yansh wan commot for the body,0
nigerian parents are the best when it comes to disciplining a child pikin go dey cryshoutdey beg his mama or papaparent dont care at that point dem must to just flog that thing out of you heard a gal crying outbegging her mum mama is busy doing justice,2
you suppose know na shey you dey follow up and know everything wey dey happen here base on biu abi you nor know benin again make dem tell you,0
i dey quick dey vex for that nonsense,2
its not even bout nose mask dem don dey run am since na worse dem go sit for seat in front of you backing you with their extensions breeze go now finish work ‍️ for people like us that dont do breakfast before work hay god stomach go turn person till e drop,2
e dey restrict airflow,0
its hightime stop misleading us in this country oooo nah dem dem dem i first see with dis faceapp whatever oooo now russia don hack my face,2
lol don dey give money you dey give happily ever after,0
god no go shame us o breast wey dey inside k bra go expensive handle with care tag suppose dey around the nipple,0
these people na heavenly places dem dey decor for oh wen our power reach we go contact them for now lets manage our road side decor sellers,0
abeg e dont count my own,0
dstv nigeria go host live watch party for their instagram page by pm today the hosts na and ️ make sure you watch am as you fit win big prizes from,0
person no dey play with you again den say i go wake person wey don dey sleep since april up in june ‍️‍️ sorry sis aisha yesufu,2
im so terribly scared i might die a virgin shey na like this e suppose be,2
the fish wey get that tail na virgin,0
i go wash the gate sef in the morning and night after everybody don enter,0
oluwa wetin dey deteriorate wetin dey sofun daanu i cant make feel my hends,2
god when i still dey yah with my ios dem apple con bring ios money good o,1
ikorodu delivery this could be your order but you dont love me enough to patronize me shey that one is good like that ehn abi you want me to go back to our village ni,2
i dey tell you brother my tiredness first me finish today e don enter tomorrow already,2
for yorubaland dem no dey open all mouth talk na na d intelligent dey decode,0
kai read again n get what im trying to say u dont have anything to donate yet u are shouting se wan fi se yiin nii them come una door come ask for money una go just dey use panadol on top person headache abeg gedifok,2
e don happen oooo ajoke don break my heart ooo pls follow me on tiktok ️,2
wetin push me go do this kind work na biscuits bone remain abeg i no do again tanigbolaamos please help tag until they see this visual siscobowzfilms,2
e get why and im glad chelsea did,0
e dey pull e own player,2
i don screen grab this ur reply give one osas omo d baby dey worry,2
dele momodu and terry waya dey plan wedding kidd dey catch cruise now ship don strong erica,0
lol this idiot try to scam me eeee say make i dictate my mastercard number shey me wey don work for ebusiness dey generate pan for accts and for yrs i even forget to call thunder for the low budget scammer,2
we wan appreciate for all the work wey e do for manchester united years no be beans ️ we go miss am na leader one way,0
wahala just dey everywhere this young man sitting beside me inside bus just dey talk like sey e dey follow somebody talk talking to himself ni sha from idumota to oyingbo afi ki oluwa wa pélu é oooooo,2
lol shey na d heat or the hits u dey talk about but as at the time of dis tweet im certain even india is a better option nigeria keh e be like say na away you dey,2
the funniest thing is that my grandma my fathers mother is from otoriyede and they never told me that seriake was my elder brother which kain wickedness be dis one nah but h e why did you hide maternal home from us alk this while nah this is sheer wickedness o,2
tell them the truth joor which one is the louder your amen the louder your testimony mtchew abegi joor na express you dey go so o,2
its only when im talking to someone i like ill now be slow hell now think im a mumu,2
wetin ur concern dey doif no be footballer na lie bros,2
aswear e no go funny wahala sef don pass the money them go wan pay you,2
wetin we go do na if money no dey we sha go laugh,0
sub everywhere oluwa wetin dey occur,1
if i dey play ball i dey avoid these kind people i no dey bother my sef to go mack them theyll just use you and shine,2
ehweeei i go enter old man motor me wey no sabi drive dey even help am control the vehicle his speed is slower than that of a snail and were crawling to my destination ‍️‍️‍️,2
oshio babaabeg do as dem talk now,2
na tou dey reign by with benjamin ekezie,0
omo e be like say bush meat don dey pursue hunter o,2
you again be like na you dem send come na to block you las las,0
fuck na true o na another seun dey there,1
boys wey dey wear that load for ear dey annoy me too muchthis one come even do swag use am face back,2
who de breeetttt all of una combined shey u wan try oya do am if e easy,0
comot that akure wey dey your handle abeg you dunno anything,2
your opon sef dey,0
lol i dey tell you watin dey school wen i go you dey argue with me,2
can a man really live like this a lady doing all these for you if you are a guy under dis table yu dey fk dem need drill yu mad make ur brain return to factory settings,2
sum ppl are actually lik mc oluomo on dis twitterdey av d remote control of all d agberos on dis streetwen dey tel dem to attack or notdey are d ones commanding dem naw to stop attackin ighaloiheanacho nd our refereend d attack wil stopcum fo dis ppl ur own risk,2
me sef i want to trend like mbah na should i post my picture na choose anyone that will make me trend like mbah,2
e just be like where you dey paint your house monthly so that e go still sharp steadily,0
this beat dey knock e enter like domot gbefun the punches in this song silly af my head don burst,0
wey yemi dey i hope say she d dance to dis tiwa new jam no try compare ur self with africas first diva lovalova,0
my gender and wahala wahala for who be nurseyou go turn nurse doctor consultant all at same time stop doing if you are not ready or better still take precautions na you people wee now be acting surprised o wrong now mtcheew,0
cbs fb mf st ibra was a free agent sanchez a swap e never reach sef we had issues in a lot of places before he came barest minimum is lb and a rw unfortunately he wont get that,2
it your day do shakara na d works when we dey do kwale,0
as in that working part dey always mk them think na everyday e dey rain plis i appreciate free money edakun i never chop some will even come to borrow money,2
na for last price negotiations dey start na,1
this tl no fit off me this morning thank god say na catchup i dey play because too many stray bullets don fire see as shell dey ground,0
e dey pain person especially if you are unable to give them the perfect reply e dey pain gan,2
my dear everybody dey vex na only cancel i cancel trip i used wrong location,0
my dear oh dats what dey are always dragging in dis street nd dey think my girl dont knw hw she looks abi,2
onye egwu nwannem please anything you can do for your brother make man fit chop abeg k is up to something obi godwin uba,0
but i wan commot na thanks bro,0
team wey i carry straight win don dey lose,2
so na twitter for iphone i dey see under your tweets abi u wey dey criticize apple wetin change your mind bruh so las las you owned one congrats on board,0
una no even allow the guy wear better cloth e no good oooooo please release him nothing come out abeg just show say you big pass,2
omo na this same thing person talk for my side wey dem break bottle for him head o na we dey settle since like this,2
you dey mind people wey wan just talk,2
i don dey plan my own,1
e no load,2
na small small she go sabi road their house dey inside inside umudunu,0
your own is good sef aym gudu gave me fuel that messed up my pump,2
na lie e no dey work,2
the disgrace the shame e de purge my belle really like seriously this is your problem heigawd shift i need to faint,2
i don spark am how i fit make una manage am happy new year,0
them dey the original meetin na when d guy back out na him don p plan without them,1
futo babes ‍️ you sha not misbehave with dem cause dem dey burst bottle,2
going down in a few minutes if you dey onitsha and environs abeg show even if na for the small chops make e for no loss,0
e don tey na about sha abraham was how old when isaac was born,1
taxify and uber needs to sensitize their drivers on the need to smell good at all times if they are not interested in their own hygiene they should at least smell good for their consumers e remain small motor go show una fit dey do anyhow then but until then pirri me,2
may cant get any worse sapa still dey hot fulani herdsmen still dey kidnap and kill boko haram dey get more power chief of army staff crashed and died buhari still remains president to cap it all chelsea don win champions league,2
me ògá wetin happen na where una dey run to with cutlass agbèrò we dey go mtn office we go burn am down today me haha wetin happen agbèrò you never hear say them dey kill xenophobia for sauti abi me,2
but really these two don dey vex me na only them balon dors and one of them will win this year making in a row,2
passed nobody bring new same i de get hope say we still de new year week don end hmmm on this note i rest my case,2
asuu my landlord in school just called me my house rent in school has expired for house i didnt stay in for months now fg e nor go better for una oooo if dem pack me commot ehnnnn no money,2
wetyn concern u now which zone we go call dis wan nah you na who r u callin boyq,2
dcode wey tell mulla big word na once mulla go house go think of how to drive e aruba,0
i dont think so me the like i like wizzy all hin song i sabi am e get some music wey i go play for wizzy e go shock wlh allah,0
seeing as rice cost for market i just dey admire that bag of rice wey dey there god bless you for your support blessed is the man that giveth than the one that taketh may gods blessings and grace be upon you always,2
so you sef don notice am,1
low budget ayesha yesufu don begin dey comment again calm your tits with the i know it all facade please if you no learn to mind your bidness for here dem go beat craze comot for your body one of these days,2
married men married men married men married men married men married men married men married men married men married men how many times did i call u stay away from my dm stay away from my dm d ones wey i get for real life sef no be sey i want abeg,2
just like that season that hazard won it for leicester city chelsea don tey dey spoil parade,2
arsenal abeg vex pull out biko,2
like for real mehn shelby and cigar=and na this guy dey make me dey use cigarette do lipstick,0
baba me don dey used to am,1
na so nnamchi them wan take kill us we no want algorithm una wey sabi book go dey oppress studiocode people like us of = of = of = of = ️ i use calculator for the addition sha,2
omoo social media nowadays walai ko funny make d nigga with epilepsy just know where e dey spit go o make e no spit pass boundary woss,2
southern nigeria una dey hear,1
e be like say na man city dem go give us oo,2
you go market to buy beef butcher go cut am like say na you suffer pass for this country ‍️ by the time you steam am finish e go dey like sweet candy,2
every year na me dem dey use do father christmas for my church they dont care about my mental health,2
lmaooooo thank god e kuku dey empty abeg make dem gods run one or twos inside the aza nau,0
be like the men wey dey like this tweet no understand wetin i mean abeg nau,2
ah e don electrocute her,2
yu dey find your own me i dey find my own,0
weytin be that wey dem gimme joy na my baby my baby congrats mama more wins,0
person voice dey sound like car engine wey dey start,2
im supposed to make sure my mum has the best of christmas like my dad always did for her popsy no dey again and i no get money,0
i bought bread yesterday i dey hide am from my guy e no dey contribute anything for house see why i dont like having visitors dem go chow everything,2
ner take away u dey use in your home as plate,2
na weyrey wey dey disguise,2
i feel like na food i go de chop in my labor room please gimme barbecue chicken before i push,2
i trust you na na this kind thing you dey like explain,0
your relationship is not even defined yet you don dey mark territory the insecurity stinks be giving someone unnecessary headache on top stan ko shi danu funmi mehnnnn make i stan my partner in breast dorathy,2
fine boy like us na dem dey rush us️ jovic couple lagos nigeria,0
what police is to doing to others in other states na area boys dey do am to us here all politicians are the same obaseki is the same are boys dey use iron beat protesters,2
amazing kachy sip ur wine jarena oburo gi melu uwae remain barca wen go soon fallinside potopotoby denna champgne we gopop,2
who be dis u see anything wey resemble giveaway for there u sure say u de see well,2
her own na standing she no get ticket ‍️,2
dear sis im just trying to figure it all out cos im deeply irritated at such a groveling mindset especially for a babe with such a star for the future wetin dey worry am nau e dey pain me o no be say i wan harsh just deeply peeved,2
i dont get your statement so me i dey behave like person wey dey high or mad ikunle abiyamo o why me as example,2
this modric goal was one real madrid goal i didnt celebrate dem just ruin handicap wey everything don set,2
my k plus followers wetin ah do you nah we suppose don dey roll well by now nah since,2
i dey use god beg you come do give away for me please e don happen egungun don enter express + weeks ask for akant number biko nu,0
umtiti and the likes that decided to stay na beg i dey beg make dem no play any match umtiti still dey my club pjanic dey but messi comot abeg make i no see dem for any match cos i no go watch am abegretired footballers,2
guy like us no dey look for love na love dey rush the polytechnic ibadan,0
lmao so una been dey watch me forget dressing man dey hungry,2
or na you dem go use for the sacrifice,2
twitter can hype rubbish abeg make dorsey come carry e app smh im done,2
i remember that day when you show for my room dey shout pandaaaaaa una don do am again guyyy i miss you so much mehn,0
lmaooo as annie didnt see shoki she sef shock,2
eee don happen eee don shèélè rain don scatter setting against tomorrow wetin go sup with the chair wey sanwoolu go sit like this,2
thats all for now you too like gist me i sha dey ignore am and you know that sometimes hurts she fit vex later con come out say person dey ignore am based on one or two ️ you dey go back school you say make i buy you provision me sef need provisions na,2
oti be like you know say you no get sense abi you no stan me wey be your room mate and you no promote my hustle but you dey stan celeb wey no send you abi if dem born you well reach this house ask me for food mek your celeb feed you heeeeeeeeeeoooooottttt,2
that laptop na my client e wan kill nifemi,2
the slap i will give u aswear e go get standard wey belle go comot incase u get see the stupid slap theyre giving her idiot gang,2
lol one day sha if anybody see me dey fight make dem just pass because na so one say e wan fok me say cold dey catch am because rain fall,2
i don belivit the same abuad weh i dey na him this kind babe dey wahala dey,2
e good as na them dey do themselves,0
oga baba j abeg u get any k wey u no dey use for now make u give me abeg so this christmas go sure for me small abeg thanks in anticipation,0
make una dey play una ball ooo we dey street dey protest na person wet happy dey watch footballwe nigeria youth are not happywe arent watching any match,2
chaiii this one don sweet me die loyl e fit be you o,0
i don commot my wallet app for dark mode to light make i fit see wella,0
me sef never enter kitchen oh buh i don chop gon buy biko,0
oh see better pikin dem god dey create i beg baddest tailor a babe ️,0
for my mind i don save k as i reach where i wan memory card the lady don bring out the memory card e remain make i just open back cover to test the card na fufu dem sell for me oooooo,2
or you wan return home you wey dey like mama iwota,0
na all our laptop and phone batteries don spoil finish despite say we no dey comoylt am for light,2
its asikwa na for tree top i go dey de blow my oja,1
my guy just laughed and said this game no dey sweet me una no go understand all my ticket don cut in other words = e don burst,2
guy forget e be like say na wetin i go ask them prepare this afternoon,0
omo i don off gen na come terrace i dey lidis o,1
with jennnifer omoko dey celebrate one of the most celebrated and recolonized female actress of our time her name na we salute you sist you don try wella kpokooo,0
so our oga don loose guard and mama sha see pata lorisirisi oga dey tell am say na she get pata o mama say make oga swear say he no carry any woman come house oga no gree o‍️,2
so dog dey pass out how you go blow dog just because hin want bite you dem dey fan bingo dey pour am water person dn go buy milk,0
lol even at this point buhari twitter defenders don tire e don dey spoil beyond wetin anybody fit defend,2
most def you will get tired of his points sef,2
lol stupid annoying thing next month i fit fry my own egg sef,2
wait oo shey d guy don offend dem b or y dem dey burst am on top bday like dis,0
lol im good maka we suppose link up òooo e don tey,0
november is here ya allah ur boy i mean me has professional exams dis month bless my memory and studies if i study just its just that that should come out im not trying to be petty buh god you sef know as e dey be nw,0
it wasnt even direct and i dont talk to her im in pains talking about hes like my bro im not even a bro im like a bro my brain is even aching me,2
my love for the back of this top its magic na the work wey we dey do,0
nai i wan just talkordinary selfcon for here you go wan donate organ first to afford am,2
why you come dey vex like na you get the shop and the food na,2
with this exchange rate im sure its more than that sef,2
no be we talk ooo thank you trailblazerdung for the review trailblazerdung una sabi gather people wey get brains and wits to,0
im not going to lie marriage scares me obirin san lori gan okunrin na de ya werey gan,2
wetin dey do marvis she be dey cry,2
asphaltass fat kai dat engineer definitely smoked my blunt while looking at dat ass see wisdom abeg,0
onitsha people how una take dey breath for that city busy dusty noisy and too much people everywhere hot ‍️ light sef no dey ‍️ left nkpor by pm got to my house in the village everywhere cold fresh air plus nepa dey ️ una dey suffer for that city o,2
as this country is going e be like god don comot hand from anything wey concern nigeria cause whats all this sad news everyday,2
is like want depression to catch me before he see me vbank i get vtarget i get betway sef i dey inside even video sef i do bikooooooo naaaaa,1
plantain don scarce sef omooooo this lagos no go contain us again ooo yall took berry blast from the market like nothing happened and now im spending hours looking for plantain on this mainland trouble will manifest i pend the search till tomorrow ‍️,2
bro thank god dem no use vex beat me people dey para for this government oh,2
omo wetin dey happen gan sef,2
na my alcohol money be dat,2
its look like you just got ahold of this endearment e dey sweet you for belle well well sir,0
d kind waka wey i waka this night god pls i dont want to ever experience it again,2
e better like that make you no dey resemble pregnant woman,0
lol nothing dey work well bro we just dey patch patch am atimes self man dem dey wish he follow boys do game but,2
this go hard ooo albino go throw e neighbor pikin up but e no come see the pikin catch again we still de settle,2
na dere dem go see u,1
small thing dem don vex like those videos where you give dem small food too,2
your own sef soft my dad will send me numerous videoswic i never get to download and later he will ask mewhat did u learn from it even funny videos and those short clips in chinese how can someone learn something from gifs,2
see dem dey wil not mind dia business,2
caleb university babes dey knack fire fear them them go knack you till you cum blood like say boys no dey the school ‍️ make babe dey tell you say youre not that strong in bed after four solid rounds ‍️ if she tells you faster fasternigga just pull out and go home,2
we love playing around with beautiful fabric d work wey we dey do kellyzafricana,0
lol tgis anti corruption package nor dey tire una we don wise pass that level e nor work again start doing it with your achievements asap las las na daura loader,2
i dont like the way your header looks at me when i enter your page e dey look me like i wan thief something,2
saga maria wan marry you you dey follow sunita up and down like say she lost dem don use indian jazz for my boy o,2
our last born name na ilias but people dey call am iliyasu na my name fine pass habeebllah,0
but e get as una dy shoot am out like this especially when on a short gown we don see the one wy no reach ur own na and e make sense,0
u n e d i t e d s e r i e s owambe saturday bookings ️ we also love our walkin clients muse ibukun,0
gran ma wan change oil dem catch her na once she change mouth,2
never man will call me for hr and its full of insults bants abuses but deep down we know the love real af something we will never trade what is kiss smiley and mwuaah na abeg abeg that boy is foolish,2
e still far o,2
confusion break e bone e yeakpa na double wahala for deadi bodi and the owner of deadi bodi,2
omo person wen i dey depend on for christmas don dey call me boss,2
good no one tagged me to this today una don dey forget thanks,0
u still dey laugh na,0
i gave one small boy ogogoro dem catch me e beat me had to act like i fainted e use cane wake me up,2
congratulations bro your girlfriend dun get belle and scan say na triplets she go born olohun a ba e wo oo amin,0
to be last born ehna crime these ones don turn me to house boy igwe unijos like me,2
with that kind english way dey him mouth,2
the owner of that car na olodo me i for don dey hail by now,2
see how this fine lady feature me abeg anyway let me digress a little bit come and buy wallpapers ooo plenty colour and designs dey for una need,0
i hope youre not talking about shema lmaoooo because that shema sef dey wonder how your money dey color,2
karius was woeful biko ahn ahn e be like person wey nor dey chop protein,2
i sabi say na me,0
wait oh i hope you know say some people never see iphone you kon de talk e be like say you na de mad,2
omo i won start to dey beg na cos im broke,0
day was going great first time i drove to the mainland and back without so much as a dent or scratch on my car enter studios open laptop and voila the screen don crack i need to start dey do fowl sacrifice everytime i venture to dis una crazeman roads walahii f$,2
barka de sallah im sending down your own meat abeg cue in awon temi by for my goons,0
you de mind them before,0
with the way things dey go for this country eh i am very very scared no security no job no comfort no peace nothing nothing wtf is going on in this life sef abi angel gabriel should just blow trumpet now sef make the world kuku end mtchewwwwww,2
i am sitting here no leave no transfer abeg reply his apology e sweet me o na atom special,0
even me wey dey baby pep with fraud talk no fit talk that kind thing,1
what is happening here okenwa so you dey come awkaetiti every december make e nobi where i dey think,2
ofeakwu scarce for this benin oo howfar na make i come for this weekend na please,2
what amuses u might not amuse me after all basket mouth performs to a sell out crowddis una nobody from ur native is no where close is nonsense,2
abeg tell us for dm na,1
person way chop ordinary slap e rush go dubai,2
you have been giving entrepreneurs students hospital bills what of me wey be doctor i like freebie too we sef na fans,0
the kind snore wey dey go down for this camp na vand v engine oh,0
school uniform in the game house hours after closing time it was on a friday my guy na we them use end assembly the next monday nice strokes of cane for yansh they called my parents it wasnt up to three weeks them don dey label me and my guys bad students,2
i swear jide read pass me for that exam i was too confident like wetin baba wan set wey i no go sabi baba sly me,2
seriously why dem no dey call me for the dollar rain sef its no fair o,2
nithank god i no sabi danceme sef na only today i hear dat kind song,0
lmao na so dem take thief my phone i go crash for class wey no get light with chima,2
tell the truth but you go dey fear you crushing on hershoot your shot but you go dey fear you get your moneyspend itlive your best life but you go dey fear yes am talking to you i really need to meet this mr fear,1
na who get sponsors dey go school na street i dey full time,2
what is these peoples problem sef now now dey don form swat but our demand was taking a process shey we are a joke to them in short ehn ‍️‍️ did we say we want change of name ni ‍️,2
dear lord when my wealth finally comes please let me be humble cuz as i dey like this ehn as i no get shinmgbine tin tini pride still dey on the loooow o god help us all money does not change people o money enhances the inner you,0
lol he say na winning mentality for draw wey una manage get oo,1
as in i don dey save for months and e never add up o,2
some people like us dey die for here just to see you ooo baba see me na house cleaner is enough i fit dey sleep for floor abeg,2
abeg na beg i dey feed me,0
i sha no understand my ig‍️ i dey see plenty followers for my tl but the number of ffws dey reduce e dey pain me,2
na only me dey department na me be head of unit and team member like say dem carve department for only me work wan kill me,2
na today una know say dsf na liar if she fit talk say cab guy be wan rape her for am when she nor get destination she can do anything just to be relevant failed actress abi wetin she dey do for a living again tcheww,2
wetin again you fit dona u wan mix cement and water,2
like this this guy go fit dey knack threesome while me dey feed mosquito here,2
you carry olosho dem say you no get game you took care of yourself by yourself dem say na lack of confidence please wetin go for next boss,2
you dey craze you sha understand just choose one of those una embarrassing moments tell us how e be,2
lmaooo see how they remove d man head we no dey kidnap am na,2
wetin i do moncheglabach sef na to rebet lie this,2
e don tey wen i see your post correct guy,0
as human no want dey give there babies direct breast milk naso dogs self don innovate into something iconic dem just need the help of humans lobatan bayii vitamincole gamebman,2
only god knows the number of times buharis name is being mentioned in this countryeven the one wey no concern am you go dey hear na buhari,2
make una dey try make the zobo cold before una dey serve am oooh wats all this,2
cant they just say i dont like you or im not feeling you and let the person go ee de pain sha hope u no de do like dat,0
lemme show you wetin i dey sell please check my ig page i have more lovely items for you laycon erica lagos yoruba abuja wetin africa boss burna nigeria may allah,0
e get some wey dey my kitchen now like this wey my mumcy buy from effurun market,0
make i wear mask for inside car again e dey bag,0
ee be like say tunisia inner gingah don finally wake up dis final quarter fam pts back to back thanks to imen jedidi mistiri wen sink in a surprise dem second for the game revival,0
una wen dey receive massage na wetin una dey enjoy be this omooooooo,0
thats how an elderly man wont shut up till one small boy told him baba e dake jare awon egbeyin se subscription dstv won wo nile e lowo ra gotv e tun pariwo baba no gree come viewing center again,2
lol why e dey pain u na not all of us dey wank,2
in wizkids voice hey sexy lady i want you in my life i want you to be my wife o baby girl just you and i o my baby you too fine oo you dey make me dey lose my mindskrskrskr fuel don finish,0
abeg e b like say hushpuppi don hack nysc account o allawee never enter o,2
bros na so e dey be for here o lol,1
is it until i dress in rags that people will know i dont have money yet and i dont even show off on sm cos i no get una dey make me wan depress say i never get money to help you oo,2
mad oo you for tell them wetin you hear na,1
hai god comments plenty o but any how my head dey game i sight you well for that secs for your right corner but i couldnt screen grab that part but this na your drip e also dey your dp everywhere as the song dey bomb,0
even me sef dey laff dey doge bottle,0
una wan start like this lol abi the virus catch una,2
make una help me oooooi don put hand wey i take blend pepper for my balls when peeingim burning now,2
omo women dey suprise me o how one mumu joke like stingy boys association go dey make una chest tight and tbh yall know its a joke if boys stingy hunger no go kill una nau or is that the case because itll explain the pains about it,2
haan na everything be red flag sha wahala for who dey relationship,2
dem don remove e sense now,2
e be like sey una know this guy make una gist us the twitter bird dey hungry,0
e pain me ooo me wey single like this she for try look my side na may her soul rest in peace,0
seyi do well for the presentation sotey them dey talk say e over do ham dey no fit handle the brilliance again after you na you seyi i stan pka dr seyi awolowo bbn mbbo phd+ gon clo pepper dem bsc ‍ rt,0
oau people e be like say all of una don enter express oooooooo egungun was not careful enough ‍️,2
the way when time take dey go eh e be like say end time don dey reach,2
bros na pidgin we dey do for hia how di reception be like for your area,0
screenshot abeg somebody help me abeg wetin the tweet they talk guys she don block me someone help me screenshot,0
my belle dey pain me like this sef,2
na wa oooooo so somebody cannot wash her pants and spread on the line to dry again so one fool will now come and steal the pants at gunpoint and use his destiny to buy benz which kind wahala be dis this is becoming alarming with each passing day no safe haven again,2
ughelli titans how una dey i dey asaba the come your area o a tacha tacha,0
if na this oscar award winning actor now i will understand na person way no fit navigate elevator dem dey do like this,2
na the work wey we dey do delivery is our calling general errands,1
if this ship no work i fit die,2
abeg all this money who dey collect amwe way dey grassroot no dey see anything oooooo anyone to reply me on this,2
the kind lie people na e dish na this twitter na agba mụ anya mmiri makachi people can lie ooo,2
the person no gree na why i dey help am find buyer,2
my bro replied wetin happen i call you tire switched off i even come use microphone dey shout for manuwa busstop say if you know madu onyinyechi for banking rd year abeg tell am say i dey find am o people dey pass dey laugh me,2
this bro no nice at all upon all dis message wey you dey hear im crying for you,2
e be like say that ogbono soup don dey twist your brain you no fit pick call again abi i blame myself for being lonely and bored eediat,2
seriously i miss bhadooski his tweets and his mind your business lifestyle e get some influencers her e wey they like drag person unnecessary,2
u see how everywhere quiet imagine say na apc state all those way u see say dey always make noise for don do thread,2
lmao oya na motivate how the goat go take survive na na una,2
some no just sabi put points forward without throwing insults dem go say na bants,2
i actually cannot stay up late and not eat sad part is i enjoying watching movies at night but i no wan dey chop like this,2
wetin psg dey do no dey moral again na,2
you go dey work to get dough they go dey slow the tempo,2
you just dey use this page dey advertise clothes with your fake fake predictions oga shift abeg be like say na you dey make we no dey score plenty goals again,2
na glasses i dey sell abeg please patronize me,0
someone said landlord carry side chick come house tenant record ham show landlady e don happen,2
james don go talk the one wey don vex zidane em no go see ball play again this season,2
family dey call ooif no be billing na something dey sup oo real st come and drop your wetin my eyes don see vibe on this guy track abeg worldbest na skylevel only ️,2
nope rosicky na reus idol if we fit buy am e go like wear rosicky jersey,0
see wetin dey happen now because some evil people wan chop bat soup e no go better for dem,2
nne please kuku ask them the type of twitter wey dem dey use make we kuku go download that type cos the thing sef don tire me oh,2
dem scatter every where from the beginning and still dey scatter things wicked generation how can a country like ours still be struggling with electricity upon all the professors and self acclaimed visionary well positioned leaders dem even get gen for house and office‍️,0
ahh i am smiling brand ambassador of smile sef,1
you fit listen to this o would make you fall in love ‍️,0
na secret cult you don see dem dey see you,2
go do something without telling us in order to celebrate jp i don vex sef i no go congratulate u for your pop,2
ive been waiting for you patiently like a prodigal son waiting for his father dem no even sabi na hospital bed dem dey use,2
chai from number one to number five all stunning lemme goan admire them again sef,0
i don try my best on it tho e no dey show,2
kwanar ina ppl like u wey no dey comot hakkin allah inside ur wealth get mouth abi,2
thiago na them dey win buh na we dey enjoy ball pass alcantara,0
im a tall slim dark man i cun be aa join so if you think ill stoop so low to beg you to dm me then must be jokingly right ooni shoriburku dear cobweb don dey my dm,0
sugarman dis ur tips hmmmm ok we dey wait dem,1
weeks to my friends wedding and i never get style i don search sotey i don dey loose hope oo,2
na empty belle dey make man dey feel some how,2
lmao craving sea food pasta from lmao which kain wahala be this im far off in anambra rn but im craving something in lagos,2
akpos my own na watchn a futbal game wt a guy fr big tv and he wil be askn u who dey win wey he fit c d scoreboard clearly,2
these girls must be drinking some special kinda water down southloving this glow loving this sass chai roast us small small with dis una swag abeg we are your sacrifice chai,0
girl you just de blow my mind,0
na partey dey sha collect and e dey pain me o,2
